UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:20:31:2031,13:20:31:2031, 0,0,200,-1,610624,805602,75409,736899,267307,508439,242591,566579,0
UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:46:44:4644,13:46:44:4644, 70,66,26,6533,574467,205101,210278,112589,253765,78587,96429,99960,261,32
3:46:46:4646,13:46:46:4646, 70,66,26,6583,1294813,315812,86653,180251,333135,111343,48165,112848,263,32
3:46:47:4647,13:46:47:4647, 70,66,26,6608,521994,346959,40981,117719,153283,250025,67429,70888,264,32
3:46:49:4649,13:46:49:4649, 70,66,26,6658,1243795,259783,138988,180024,315577,123555,74628,53452,266,32
3:46:50:4650,13:46:50:4650, 70,66,26,6683,800309,419092,232700,223083,22354,54036,222820,83735,267,32
3:46:51:4651,13:46:51:4651, 70,66,26,6707,417309,481553,155972,47927,107011,100565,134713,78759,268,28
3:46:52:4652,13:46:52:4652, 70,66,26,6733,1157671,110710,580286,102883,159211,68734,66958,39355,269,32
3:46:54:4654,13:46:54:4654, 70,66,26,6782,575588,264339,225667,108442,283689,96106,45831,74549,271,28
3:46:55:4655,13:46:55:4655, 70,66,26,6808,379632,610765,77131,58109,422731,161642,199729,42073,272,32
3:46:56:4656,13:46:56:4656, 70,66,26,6832,734107,719848,223816,275042,93902,102304,56184,80352,273,28
3:46:57:4657,13:46:57:4657, 70,66,26,6858,870574,174180,127431,46527,634642,53147,61329,224403,274,32
3:46:58:4658,13:46:58:4658, 70,66,26,6881,479386,330174,27390,151554,679807,103801,114904,114146,275,24
3:46:59:4659,13:46:59:4659, 70,66,26,6907,377043,470438,37444,173618,323667,108103,40655,77990,276,28
3:47:00:470,13:47:00:470, 70,66,26,6931,597457,195892,249458,183474,52630,115770,42428,42154,277,24
3:47:01:471,13:47:01:471, 70,66,26,6956,285132,112978,119550,170255,130379,69215,66868,83313,278,24
3:47:02:472,13:47:02:472, 70,66,26,6982,1553515,233880,66315,98770,176215,133391,61609,39602,279,28
3:47:03:473,13:47:03:473, 70,66,26,7006,341424,576992,165203,52999,73688,51205,83891,40505,280,24
3:47:04:474,13:47:04:474, 70,66,26,7032,899297,202465,212662,161176,171065,117963,61954,88539,281,28
3:47:06:476,13:47:06:476, 70,66,26,7081,1295193,305770,138201,140601,209421,79202,97952,116835,283,24
3:47:07:477,13:47:07:477, 70,66,26,7105,405726,417193,120597,168630,37119,86278,154508,111099,284,2
3:47:08:478,13:47:08:478, 70,66,26,7130,1502233,92030,78489,131170,189834,162217,155179,57601,285,2
3:47:09:479,13:47:09:479, 70,66,26,7156,672471,380338,301487,242168,77576,64873,199468,173402,286,24
3:47:10:4710,13:47:10:4710, 70,66,26,7180,146396,193193,10776,38752,37536,30456,22396,16972,287,2
3:47:11:4711,13:47:11:4711, 70,66,26,7206,560199,176257,117367,202134,217551,77428,109362,66049,288,24
3:47:12:4712,13:47:12:4712, 70,66,26,7229,41973,34914,9780,83054,14761,31450,20805,21085,289,16
3:47:13:4713,13:47:13:4713, 70,66,26,7255,633113,480004,137358,214125,68225,119999,56029,205051,290,2
3:47:14:4714,13:47:14:4714, 70,66,26,7280,564118,367779,149723,194231,99419,98249,72118,79491,291,2
3:47:16:4716,13:47:16:4716, 70,66,26,7331,1704356,733715,391115,249435,121083,48362,67585,75127,293,24
3:47:17:4717,13:47:17:4717, 70,66,26,7354,1690257,119308,76346,364005,220473,66846,64430,93355,294,16
3:47:18:4718,13:47:18:4718, 70,66,26,7380,464891,533354,139361,59970,146000,81694,74141,79554,295,2
3:47:19:4719,13:47:19:4719, 70,66,26,7404,1047785,336098,143491,185540,128394,63553,53430,101006,296,16
3:47:20:4720,13:47:20:4720, 70,66,26,7430,592465,132502,102839,134139,238657,65990,76967,63272,297,2
3:47:21:4721,13:47:21:4721, 70,66,26,7454,122042,429768,18530,79182,82183,103740,35460,90837,298,16
3:47:22:4722,13:47:22:4722, 70,66,26,7479,313907,454114,44846,26419,218417,112933,106284,42459,299,16
3:47:23:4723,13:47:23:4723, 70,66,26,7505,703373,343736,230388,336833,92060,78030,51369,37124,300,2
3:47:24:4724,13:47:24:4724, 70,66,26,7528,1387139,1639390,366314,134318,1569630,382159,473314,324088,301,12
3:47:26:4726,13:47:26:4726, 70,66,26,7578,98708,71032,83683,15255,10488,23973,11271,15037,303,12
3:47:27:4727,13:47:27:4727, 70,66,26,7604,468737,750928,136800,183979,172573,95166,76107,89890,304,16
3:47:28:4728,13:47:28:4728, 70,66,26,7628,227245,497530,308108,547045,85098,99401,37721,85734,305,12
3:47:29:4729,13:47:29:4729, 70,66,26,7653,664335,140464,49222,227656,89418,94664,63761,110978,306,12
3:47:30:4730,13:47:30:4730, 70,66,26,7679,399055,692583,353091,654222,501826,466502,167376,272063,307,16
3:47:31:4731,13:47:31:4731, 70,66,26,7702,193506,254477,127492,130464,104046,187467,50585,72384,308,08
3:47:32:4732,13:47:32:4732, 70,66,26,7728,341821,231181,240447,181164,278297,55082,47967,89351,309,12
3:47:33:4733,13:47:33:4733, 70,66,26,7752,1034125,790080,123308,64194,325303,101621,36142,50951,310,08
3:47:34:4734,13:47:34:4734, 70,66,26,7778,781523,934817,252070,94926,269714,162725,58111,26002,311,12
3:47:36:4736,13:47:36:4736, 70,66,26,7827,676235,288668,50081,89061,93867,116298,55654,43775,313,08
3:47:37:4737,13:47:37:4737, 70,66,26,7853,435133,544588,256396,102137,156159,106326,64182,147948,314,12
3:47:38:4738,13:47:38:4738, 70,66,26,7876,453653,740632,23290,54672,323708,122462,46427,82563,315,04
3:47:39:4739,13:47:39:4739, 70,66,26,7903,582335,227544,80848,207112,165181,103437,99656,78769,316,12
3:47:40:4740,13:47:40:4740, 70,66,26,7927,1606047,1398038,104194,777660,780232,680138,263264,237048,317,08
3:47:41:4741,13:47:41:4741, 70,66,26,7952,303784,217949,180234,125643,68100,65422,46253,61785,318,08
3:47:42:4742,13:47:42:4742, 70,66,26,7978,1220553,377374,309821,67960,131922,102198,71629,97460,319,12
3:47:43:4743,13:47:43:4743, 70,66,26,8001,577588,432268,260808,70311,485432,84804,71614,59859,320,04
3:47:44:4744,13:47:44:4744, 70,66,26,8027,378762,284538,25892,225952,115866,85306,37690,194828,321,08
3:47:46:4746,13:47:46:4746, 70,66,26,8077,493112,296916,109317,244577,77052,133924,55425,63668,323,08
3:47:48:4748,13:47:48:4748, 70,66,26,8126,219103,565751,106781,14301,123520,88888,88305,60894,325,04
3:47:49:4749,13:47:49:4749, 70,66,26,8152,193840,1144195,113176,147716,89125,104235,74594,51661,326,08
3:47:50:4750,13:47:50:4750, 70,66,26,8175,764974,518025,71285,242451,140867,103269,42044,55653,327
3:47:51:4751,13:47:51:4751, 70,66,26,8201,277341,165514,52799,317691,234325,162786,53256,84849,328,04
3:47:52:4752,13:47:52:4752, 70,66,26,8225,511096,179578,130478,381214,265276,74032,96492,141732,329
3:47:53:4753,13:47:53:4753, 70,66,26,8251,937527,156851,144346,55664,911147,98207,130790,164790,330,04
3:47:54:4754,13:47:54:4754, 70,66,26,8275,500777,16673,20581,28788,624520,109436,48608,88809,331
3:47:56:4756,13:47:56:4756, 70,66,26,8326,173247,121632,110118,156309,644286,75962,88175,54511,333,04
3:47:57:4757,13:47:57:4757, 70,66,26,8350,598845,590355,201436,114109,74486,93708,82060,62717,334
3:47:58:4758,13:47:58:4758, 70,66,26,8376,907096,478264,115056,222561,336095,137023,42429,40387,335,04
3:47:59:4759,13:47:59:4759, 70,66,26,8399,410455,802003,529106,111779,59734,108577,51159,28825,335,96
3:48:00:480,13:48:00:480, 70,66,26,8425,1130439,691089,81752,253744,90224,98508,45292,132723,337
3:48:01:481,13:48:01:481, 70,66,26,8449,1018139,424399,42224,262995,124554,101369,62803,121075,337,96
3:48:02:482,13:48:02:482, 70,66,26,8474,371884,291306,237404,208472,246310,93279,50552,63405,338,96
3:48:03:483,13:48:03:483, 70,66,26,8500,762558,276397,101874,223018,293078,99906,48210,89776,340
3:48:04:484,13:48:04:484, 70,66,26,8524,629741,270716,118436,44193,289544,121046,41785,45414,340,96
3:48:06:486,13:48:06:486, 70,66,26,8573,1694416,353213,152629,141620,512800,133630,52248,62645,342,92
3:48:07:487,13:48:07:487, 70,66,26,8599,1632053,324789,79998,155416,360542,110744,63651,69560,343,96
3:48:08:488,13:48:08:488, 70,66,26,8624,656216,216605,158658,106537,467262,73291,87880,65024,344,96
3:48:09:489,13:48:09:489, 70,66,26,8649,666519,372318,170632,235892,438109,154610,81541,86699,345,96
3:48:10:4810,13:48:10:4810, 70,66,26,8674,312339,808123,142452,63091,214899,56299,97694,130484,346,96
3:48:10:4810,13:48:10:4810, 70,66,26,8698,235330,180481,60370,116548,151416,115795,80713,29201,347,92
3:48:12:4812,13:48:12:4812, 70,66,26,8724,417209,222168,574394,174770,53369,62820,86730,118359,348,96
3:48:12:4812,13:48:12:4812, 70,66,26,8748,2493524,2278359,1457551,424479,878906,298515,243043,256238,349,92
3:48:14:4814,13:48:14:4814, 70,66,26,8773,243128,291577,307370,106564,108515,115129,43333,77166,350,92
3:48:14:4814,13:48:14:4814, 70,66,26,8798,571849,687555,21394,214005,69720,176738,56151,68681,351,92
3:48:16:4816,13:48:16:4816, 70,66,26,8823,325429,484697,226923,117292,84058,78137,81336,77434,352,92
3:48:17:4817,13:48:17:4817, 70,66,26,8849,346628,296468,72782,152989,282613,196340,87213,54510,353,96
3:48:17:4817,13:48:17:4817, 70,66,26,8872,300039,251896,120830,67882,163726,123378,75466,65416,354,88
3:48:19:4819,13:48:19:4819, 70,66,26,8898,474805,678906,146957,87954,94914,110915,97539,76387,355,92
3:48:19:4819,13:48:19:4819, 70,66,26,8922,1763895,71433,27750,283206,415455,81387,65472,68610,356,88
3:48:20:4820,13:48:20:4820, 70,66,26,8947,187268,283699,73827,115435,320358,57549,33522,92561,357,88
3:48:21:4821,13:48:21:4821, 70,66,26,8972,791232,257290,155816,163452,375856,80722,54337,108034,358,88
3:48:22:4822,13:48:22:4822, 70,66,26,8997,1291325,483237,19652,111201,43005,67978,58774,78363,359,88
3:48:23:4823,13:48:23:4823, 70,66,26,9023,1104957,528031,122202,108244,245893,171762,107699,101234,360,92
3:48:25:4825,13:48:25:4825, 70,66,26,9072,808594,109694,266626,268700,336083,63783,31835,142700,362,88
3:48:26:4826,13:48:26:4826, 70,66,26,9096,701490,345849,232205,250096,306905,128310,44803,106508,363,84
3:48:27:4827,13:48:27:4827, 70,66,26,9121,1109091,154237,111249,144977,833272,110499,59730,49839,364,84
3:48:29:4829,13:48:29:4829, 70,66,26,9171,410605,204206,82972,112839,409239,82122,125707,35629,366,84
3:48:30:4830,13:48:30:4830, 70,66,26,9197,701249,234143,120020,137653,34138,179493,68889,99451,367,88
3:48:31:4831,13:48:31:4831, 70,66,26,9220,535788,288306,281837,150683,115115,78360,89734,59907,368,8
3:48:32:4832,13:48:32:4832, 70,66,26,9246,569084,552908,132498,124700,152782,131616,45529,137203,369,84
3:48:33:4833,13:48:33:4833, 70,66,26,9270,571215,332177,129049,150249,135007,80698,25079,75062,370,8
3:48:35:4835,13:48:35:4835, 70,66,26,9322,622527,309150,30482,99991,41145,113533,24216,91778,372,88
3:48:36:4836,13:48:36:4836, 70,66,26,9345,571859,350947,135863,244592,58488,109489,28691,48715,373,8
3:48:37:4837,13:48:37:4837, 70,66,26,9371,171002,1711462,1150696,208603,191970,366614,322084,120481,374,84
3:48:38:4838,13:48:38:4838, 70,66,26,9395,889201,1360524,80465,1017590,847285,295375,225127,363744,375,8
3:48:39:4839,13:48:39:4839, 70,66,26,9421,630386,277070,70519,303205,84471,89916,49994,45130,376,84
3:48:41:4841,13:48:41:4841, 70,66,26,9470,75570,123162,31306,21769,13994,24366,34581,29398,378,8
3:48:42:4842,13:48:42:4842, 70,66,26,9496,809873,131023,213412,60825,678900,89438,59677,123348,379,84
3:48:43:4843,13:48:43:4843, 70,66,26,9519,1354636,2194079,671160,772364,826613,387451,138739,407139,380,76
3:48:45:4845,13:48:45:4845, 70,66,26,9569,1201494,346950,65920,271592,73976,63627,58542,60321,382,76
3:48:46:4846,13:48:46:4846, 70,66,26,9595,798546,576931,41480,289816,263045,79667,89552,48515,383,8
3:48:47:4847,13:48:47:4847, 70,66,26,9619,552638,310508,222309,164706,135388,92554,39774,72189,384,76
3:48:48:4848,13:48:48:4848, 70,66,26,9644,1485550,1151015,1052462,196402,735195,321109,354657,352952,385,76
3:48:49:4849,13:48:49:4849, 70,66,26,9670,777370,192614,187671,144311,145826,110485,61639,56992,386,8
3:48:50:4850,13:48:50:4850, 70,66,26,9693,740775,201841,100552,62540,636113,132826,91763,146581,387,72
3:48:51:4851,13:48:51:4851, 70,66,26,9719,844824,352549,209225,305616,82472,128501,74079,46779,388,76
3:48:52:4852,13:48:52:4852, 70,66,26,9743,1254088,991451,780679,223942,658763,430745,470432,159669,389,72
3:48:53:4853,13:48:53:4853, 70,66,26,9769,441040,249900,75507,119676,208201,86802,81089,123344,390,76
3:48:54:4854,13:48:54:4854, 70,66,26,9793,287367,345120,60260,43831,87606,161211,47054,40473,391,72
3:48:55:4855,13:48:55:4855, 70,66,26,9818,425183,70846,82401,81570,453825,120955,41654,64212,392,72
3:48:56:4856,13:48:56:4856, 70,66,26,9844,686732,910550,105966,412452,80193,76943,83453,73497,393,76
3:48:57:4857,13:48:57:4857, 70,66,26,9867,625945,205891,78893,174254,26328,100132,77226,36482,394,68
3:48:58:4858,13:48:58:4858, 70,66,26,9893,461736,240199,371773,96870,103490,207064,88667,74296,395,72
3:48:59:4859,13:48:59:4859, 70,66,26,9917,649627,469927,172511,257125,134540,179632,144942,39874,396,68
3:49:00:490,13:49:00:490, 70,66,26,9943,1097356,419689,94657,148753,47737,116880,47440,55799,397,72
3:49:01:491,13:49:01:491, 70,66,26,9968,321481,607329,79758,69663,111238,145387,58203,64222,398,72
3:49:02:492,13:49:02:492, 70,66,26,9993,38691,87533,25196,44299,45787,21352,16351,32028,399,72
3:49:03:493,13:49:03:493, 70,66,26,10018,516964,402828,45957,499091,207766,79309,91226,74768,400,72
3:49:05:495,13:49:05:495, 70,66,26,10067,563888,140979,71584,142987,65290,69560,64175,104578,402,68
3:49:06:496,13:49:06:496, 70,66,26,10091,373949,181952,27904,67191,452403,84500,113158,107257,403,64
3:49:07:497,13:49:07:497, 70,66,26,10117,980120,202405,34750,237321,152367,89798,60731,71751,404,68
3:49:08:498,13:49:08:498, 70,66,26,10142,231047,853087,207352,53166,282182,74180,84819,86180,405,68
3:49:09:499,13:49:09:499, 70,66,26,10167,995295,691446,247613,142989,225154,84495,134127,41998,406,68
3:49:10:4910,13:49:10:4910, 70,66,26,10192,713407,357403,208672,148970,58240,54423,117835,52401,407,68
3:49:11:4911,13:49:11:4911, 70,66,26,10216,231706,108846,140770,81965,123206,183522,89874,27422,408,64
3:49:12:4912,13:49:12:4912, 70,66,26,10242,897787,258928,204570,89977,161033,124994,76732,93781,409,68
3:49:13:4913,13:49:13:4913, 70,66,26,10266,400191,1545641,233985,197449,73643,141874,63859,95149,410,64
3:49:16:4916,13:49:16:4916, 70,66,26,10340,722564,252392,181955,96598,47889,159705,49485,74291,413,6
3:49:17:4917,13:49:17:4917, 70,66,26,10366,1461417,822812,237016,301921,881069,347740,248503,249055,414,64
3:49:18:4918,13:49:18:4918, 70,66,26,10390,190491,448974,20765,131067,108681,63997,73333,69678,415,6
3:49:19:4919,13:49:19:4919, 70,66,26,10416,372162,712379,60721,224756,65767,135497,72422,89639,416,64
3:49:20:4920,13:49:20:4920, 70,66,26,10439,913472,240778,89847,69959,157600,140481,115904,59730,417,56
3:49:21:4921,13:49:21:4921, 70,66,26,10465,338504,317679,97440,163988,195273,117823,47376,37302,418,6
3:49:22:4922,13:49:22:4922, 70,66,26,10491,704388,519222,213856,241753,125034,99206,177395,56266,419,64
3:49:23:4923,13:49:23:4923, 70,66,26,10515,269806,780692,110230,150907,87107,134740,66627,50558,420,6
3:49:25:4925,13:49:25:4925, 70,66,26,10565,870292,1229813,873784,263787,97120,288938,275204,422823,422,6
3:49:26:4926,13:49:26:4926, 70,66,26,10590,1284042,293297,78415,57802,97212,89333,58922,49425,423,6
3:49:28:4928,13:49:28:4928, 70,66,26,10640,499821,534157,234002,283442,170387,71784,81343,51106,425,6
3:49:29:4929,13:49:29:4929, 70,66,26,10665,1599006,1509040,562749,727161,675210,351941,179840,203877,426,6
3:49:30:4930,13:49:30:4930, 70,66,26,10689,593972,584210,85970,586463,65541,83066,50088,69508,427,56
3:49:31:4931,13:49:31:4931, 70,66,26,10715,591322,276236,170973,103556,126775,60744,149437,55078,428,6
3:49:32:4932,13:49:32:4932, 70,66,26,10739,1218784,284109,232569,86877,127622,85830,94225,64187,429,56
3:49:33:4933,13:49:33:4933, 70,66,26,10764,250960,510531,45958,256799,96949,113901,166240,45248,430,56
3:49:34:4934,13:49:34:4934, 70,66,26,10788,316475,652979,364473,34445,138299,87974,120936,49321,431,52
3:49:35:4935,13:49:35:4935, 70,66,26,10813,564017,241031,68481,295190,171927,165465,44019,56161,432,52
3:49:36:4936,13:49:36:4936, 70,66,26,10839,576962,515987,158674,268326,41807,89283,48881,82950,433,56
3:49:37:4937,13:49:37:4937, 70,66,26,10863,389220,183330,299050,180215,94631,75692,94657,89024,434,52
3:49:38:4938,13:49:38:4938, 70,66,26,10889,794301,339813,260687,256905,154041,107191,81074,41270,435,56
3:49:39:4939,13:49:39:4939, 70,66,26,10913,324851,350391,188602,134672,197043,94425,125413,30597,436,52
3:49:40:4940,13:49:40:4940, 70,66,26,10938,1427407,168305,102959,181550,77106,128413,25384,79978,437,52
3:49:41:4941,13:49:41:4941, 70,66,26,10963,731064,698269,282400,184139,161665,66856,66906,60278,438,52
3:49:42:4942,13:49:42:4942, 70,66,26,10988,197266,741015,264713,221805,47709,76319,58219,41665,439,52
3:49:43:4943,13:49:43:4943, 70,66,26,11014,1277548,1298838,578695,283224,252531,291621,219247,176329,440,56
3:49:45:4945,13:49:45:4945, 70,66,26,11063,1216040,85644,67324,225315,431279,76361,87497,71201,442,52
3:49:46:4946,13:49:46:4946, 70,66,26,11086,343820,493699,241693,111916,318319,43502,52630,57767,443,44
3:49:47:4947,13:49:47:4947, 70,66,26,11113,525124,427668,146117,254429,101091,132167,55093,141860,444,52
3:49:48:4948,13:49:48:4948, 70,66,26,11137,785507,317425,13255,298404,50250,98010,51406,104059,445,48
3:49:49:4949,13:49:49:4949, 70,66,26,11162,456230,819475,382967,252653,48984,127865,63800,44720,446,48
3:49:50:4950,13:49:50:4950, 70,66,26,11188,69195,25954,19982,26154,102460,30307,21639,10929,447,52
3:49:51:4951,13:49:51:4951, 70,66,26,11211,704638,57403,117398,85718,381772,67655,200272,32952,448,44
3:49:52:4952,13:49:52:4952, 70,66,26,11237,959931,342066,17183,222359,367492,117237,72469,55882,449,48
3:49:53:4953,13:49:53:4953, 70,66,26,11261,150906,125415,117446,50827,316415,221026,44545,84397,450,44
3:49:55:4955,13:49:55:4955, 70,66,26,11311,402593,118917,106504,117437,51087,146133,52804,37760,452,44
3:49:56:4956,13:49:56:4956, 70,66,26,11336,783980,665757,223700,204626,283663,66959,86078,60120,453,44
3:49:57:4957,13:49:57:4957, 70,66,26,11362,612089,418724,124003,101217,344050,73340,53816,56558,454,48
3:49:58:4958,13:49:58:4958, 70,66,26,11386,409010,553269,388091,92788,97301,71308,41678,61052,455,44
3:49:59:4959,13:49:59:4959, 70,66,26,11411,1410339,707699,143157,166053,104347,96401,55872,110682,456,44
3:50:00:500,13:50:00:500, 70,66,26,11435,84412,164727,397790,295641,93136,149151,44905,34343,457,4
3:50:01:501,13:50:01:501, 70,66,26,11460,716226,370701,47782,148223,163468,95500,89653,48338,458,4
3:50:02:502,13:50:02:502, 70,66,26,11485,1276442,429554,74728,201472,68382,107445,53825,74063,459,4
3:50:03:503,13:50:03:503, 70,66,26,11510,331485,566485,437519,188406,158319,88592,60796,61117,460,4
3:50:05:505,13:50:05:505, 70,66,26,11559,916272,327773,136390,136735,261263,148215,78586,106032,462,36
3:50:06:506,13:50:06:506, 70,66,26,11585,913767,221048,425507,79931,127401,65338,79493,51704,463,4
3:50:07:507,13:50:07:507, 70,66,26,11609,77599,64835,103452,43974,19700,68190,10610,19848,464,36
3:50:08:508,13:50:08:508, 70,66,26,11635,503988,580988,366683,150948,151224,165696,61950,49406,465,4
3:50:10:5010,13:50:10:5010, 70,66,26,11685,617115,319830,53206,325470,104651,87440,56913,88414,467,4
3:50:11:5011,13:50:11:5011, 70,66,26,11710,477900,754669,216834,150551,73326,82554,70268,68438,468,4
3:50:12:5012,13:50:12:5012, 70,66,26,11734,407779,350947,96197,257175,77770,173498,87859,46474,469,36
3:50:13:5013,13:50:13:5013, 70,66,26,11760,1070220,392715,48465,83176,156112,72280,132685,62777,470,4
3:50:15:5015,13:50:15:5015, 70,66,26,11809,838911,159063,280743,502165,58948,78706,126974,20215,472,36
3:50:16:5016,13:50:16:5016, 70,66,26,11835,619073,1132505,299475,168350,227566,67885,62002,57446,473,4
3:50:17:5017,13:50:17:5017, 70,66,26,11859,24131,84762,8717,39583,34681,24174,20723,22801,474,36
3:50:18:5018,13:50:18:5018, 70,66,26,11885,1382873,883626,89876,448674,47953,73594,67992,48260,475,4
3:50:19:5019,13:50:19:5019, 70,66,26,11908,77776,127867,48885,51991,50010,27498,26738,17442,476,32
3:50:20:5020,13:50:20:5020, 70,66,26,11933,580656,481874,159244,108268,72910,78358,66613,45465,477,32
3:50:22:5022,13:50:22:5022, 70,66,26,11983,455599,178571,111205,118578,100507,133746,80283,62075,479,32
3:50:23:5023,13:50:23:5023, 70,66,26,12009,3058360,1793420,80065,685575,456597,601622,141603,675316,480,36
3:50:25:5025,13:50:25:5025, 70,66,26,12059,29423,484445,352597,162480,77891,57813,50650,44988,482,36
3:50:26:5026,13:50:26:5026, 70,66,26,12082,113706,201023,208003,366983,192832,122829,47684,117164,483,28
3:50:27:5027,13:50:27:5027, 70,66,26,12108,485362,482551,247373,237764,84437,95778,37175,75814,484,32
3:50:28:5028,13:50:28:5028, 70,66,26,12132,504605,281888,551826,97396,170706,66396,52767,64969,485,28
3:50:29:5029,13:50:29:5029, 70,66,26,12157,705998,483742,183845,93659,80375,108696,77026,48247,486,28
3:50:30:5030,13:50:30:5030, 70,66,26,12183,689653,203708,23242,54960,72001,164150,77338,46833,487,32
3:50:31:5031,13:50:31:5031, 70,66,26,12207,1180520,1874103,234106,1019241,634304,530643,226648,223328,488,28
3:50:32:5032,13:50:32:5032, 70,66,26,12233,158545,659218,483623,158119,54025,76396,56748,110293,489,32
3:50:33:5033,13:50:33:5033, 70,66,26,12256,739077,544829,32517,246246,114438,59436,125919,41732,490,24
3:50:35:5035,13:50:35:5035, 70,66,26,12307,1086459,898822,478600,134664,1195429,418721,304637,261621,492,28
3:50:36:5036,13:50:36:5036, 70,66,26,12331,493287,313219,98298,107331,58641,125044,43179,29106,493,24
3:50:37:5037,13:50:37:5037, 70,66,26,12357,529712,306942,127976,65324,182532,79000,51331,47666,494,28
3:50:38:5038,13:50:38:5038, 70,66,26,12381,210337,289060,83167,195607,25354,93604,52688,74773,495,24
3:50:39:5039,13:50:39:5039, 70,66,26,12407,245523,439926,65758,348845,83036,175551,99478,61148,496,28
3:50:40:5040,13:50:40:5040, 70,66,26,12430,370254,223160,247703,108878,92162,97862,64260,76044,497,2
3:50:41:5041,13:50:41:5041, 70,66,26,12456,631103,406866,102953,113703,114587,73088,88532,46710,498,24
3:50:42:5042,13:50:42:5042, 70,66,26,12480,1033444,723901,285857,616034,256504,1401033,383069,175309,499,2
3:50:43:5043,13:50:43:5043, 70,66,26,12506,1289242,179200,107689,206892,93720,58866,39775,42955,500,24
3:50:44:5044,13:50:44:5044, 70,66,26,12531,459855,318852,371611,103456,79962,160033,94745,48214,501,24
3:50:45:5045,13:50:45:5045, 70,66,26,12555,995608,103855,233070,172853,139752,167905,67016,88252,502,2
3:50:46:5046,13:50:46:5046, 70,66,26,12581,568822,74327,86047,362020,153070,73099,106246,62279,503,24
3:50:47:5047,13:50:47:5047, 70,66,26,12604,519650,138664,41630,238442,109538,62551,74404,66316,504,16
3:50:48:5048,13:50:48:5048, 70,66,26,12631,643733,397273,244237,195324,55269,87027,65372,55626,505,24
3:50:49:5049,13:50:49:5049, 70,66,26,12655,388849,749098,508631,361111,118081,102594,119577,55945,506,2
3:50:50:5050,13:50:50:5050, 70,66,26,12680,883940,152898,257628,209537,60611,95512,109947,61235,507,2
3:50:51:5051,13:50:51:5051, 70,66,26,12705,438293,607139,268059,274853,144403,140749,45739,63446,508,2
3:50:52:5052,13:50:52:5052, 70,66,26,12729,547738,693755,58635,187217,51135,102132,65334,63662,509,16
3:50:53:5053,13:50:53:5053, 70,66,26,12755,744653,278109,419703,156103,303912,66686,63307,61386,510,2
3:50:55:5055,13:50:55:5055, 70,66,26,12805,1003916,96562,29695,274463,212102,57917,57216,109899,512,2
3:50:57:5057,13:50:57:5057, 70,66,26,12854,163935,490937,68619,242914,178166,136164,74352,89087,514,16
3:50:58:5058,13:50:58:5058, 70,66,26,12880,558358,1133950,668858,726218,241038,295738,292204,308968,515,2
3:50:59:5059,13:50:59:5059, 70,66,26,12903,579394,629832,76988,89176,186163,74557,63094,39515,516,12
3:51:00:510,13:51:00:510, 70,66,26,12929,292024,546863,208030,167140,208843,177373,95270,106112,517,16
3:51:01:511,13:51:01:511, 70,66,26,12953,698011,1548640,376163,315814,701370,649523,303693,176089,518,12
3:51:02:512,13:51:02:512, 70,66,26,12979,1170877,1132091,414324,390347,2052535,465647,386141,221472,519,16
3:51:05:515,13:51:05:515, 70,66,26,13054,438157,943095,138523,71469,58546,100534,99303,47856,522,16
3:51:06:516,13:51:06:516, 70,66,26,13077,1283569,118055,127129,148417,180878,95251,50349,64696,523,08
3:51:07:517,13:51:07:517, 70,66,26,13103,1724900,2030301,264107,1127449,238247,618210,348326,553327,524,12
3:51:09:519,13:51:09:519, 70,66,26,13153,420992,385099,9435,142125,395868,96519,73508,26811,526,12
3:51:10:5110,13:51:10:5110, 70,66,26,13179,216957,398375,83573,105262,148909,104567,36522,57784,527,16
3:51:11:5111,13:51:11:5111, 70,66,26,13202,219443,67191,35913,50605,33884,34417,15886,14041,528,08
3:51:12:5112,13:51:12:5112, 70,66,26,13228,1116830,269785,170758,140308,72654,93909,68204,81728,529,12
3:51:13:5113,13:51:13:5113, 70,66,26,13252,1079457,367962,190092,138711,284276,93255,71345,53779,530,08
3:51:15:5115,13:51:15:5115, 70,66,26,13302,104562,38668,3715,33553,36098,10755,21861,22879,532,08
3:51:16:5116,13:51:16:5116, 70,66,26,13327,1030980,1403839,954136,840716,557698,431723,360054,169429,533,08
3:51:17:5117,13:51:17:5117, 70,66,26,13353,541507,214344,105561,207699,105799,98831,74585,38927,534,12
3:51:18:5118,13:51:18:5118, 70,66,26,13376,784239,613430,161081,71031,240391,172511,94729,90771,535,04
3:51:19:5119,13:51:19:5119, 70,66,26,13402,923547,153107,232758,147212,193002,110457,44936,33371,536,08
3:51:20:5120,13:51:20:5120, 70,66,26,13426,332470,394676,409225,448398,106786,170080,59851,106949,537,04
3:51:21:5121,13:51:21:5121, 70,66,26,13452,910804,455855,198864,153313,101632,67462,80228,56564,538,08
3:51:22:5122,13:51:22:5122, 70,66,26,13476,1523361,251310,33840,498939,176914,57615,73157,121268,539,04
3:51:23:5123,13:51:23:5123, 70,66,26,13501,974429,849764,263383,355168,1022009,350444,143439,223229,540,04
