UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:20:31:2031,13:20:31:2031, 0,0,200,-1,610624,805602,75409,736899,267307,508439,242591,566579,0
UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:43:24:4324,13:43:24:4324, 70,66,26,1532,248453,446031,144320,147841,103363,142636,50553,112192,61,28
3:43:25:4325,13:43:25:4325, 70,66,26,1556,59655,169784,26721,21435,33622,14167,14823,26361,62,24
3:43:27:4327,13:43:27:4327, 70,66,26,1607,385985,505908,361694,29960,63619,111964,45511,62175,64,28
3:43:28:4328,13:43:28:4328, 70,66,26,1631,1035980,377274,105577,134858,157669,131281,85743,91866,65,24
3:43:29:4329,13:43:29:4329, 70,66,26,1657,262134,140187,525103,181813,96796,86775,73995,93330,66,28
3:43:30:4330,13:43:30:4330, 70,66,26,1680,1014789,161740,222887,70299,216908,76136,77203,151456,67,2
3:43:31:4331,13:43:31:4331, 70,66,26,1707,43202,35417,84249,62433,54714,29443,22715,21039,68,28
3:43:33:4333,13:43:33:4333, 70,66,26,1755,289363,933049,205912,90023,378563,113511,65999,58387,70,2
3:43:34:4334,13:43:34:4334, 70,66,26,1781,886653,691363,143785,70278,319139,129352,206745,111378,71,24
3:43:35:4335,13:43:35:4335, 70,66,26,1805,683699,348918,255934,83135,521651,45356,63242,27416,72,2
3:43:37:4337,13:43:37:4337, 70,66,26,1855,554216,753332,147409,61254,183701,152806,92566,81125,74,2
3:43:38:4338,13:43:38:4338, 70,66,26,1880,217669,399362,101460,58696,315502,139069,187006,87819,75,2
3:43:39:4339,13:43:39:4339, 70,66,26,1905,201110,263461,127249,47746,198169,81386,42282,150430,76,2
3:43:40:4340,13:43:40:4340, 70,66,26,1930,422009,291299,106864,125584,208817,168100,44142,150158,77,2
3:43:41:4341,13:43:41:4341, 70,66,26,1956,844844,543733,167719,57156,206624,57002,219539,42756,78,24
3:43:42:4342,13:43:42:4342, 70,66,26,1980,1220110,225139,269965,137304,148414,112040,102257,91033,79,2
3:43:43:4343,13:43:43:4343, 70,66,26,2005,998231,295727,60640,337248,308445,128111,69884,67609,80,2
3:43:44:4344,13:43:44:4344, 70,66,26,2029,811135,391270,159472,87420,58835,97777,62209,123340,81,16
3:43:45:4345,13:43:45:4345, 70,66,26,2054,1176294,239042,110322,403393,280063,183544,80549,140979,82,16
3:43:46:4346,13:43:46:4346, 70,66,26,2079,847076,387899,186700,30367,156271,96660,116233,111838,83,16
3:43:47:4347,13:43:47:4347, 70,66,26,2104,367173,377815,216760,189149,237044,132811,122217,126837,84,16
3:43:48:4348,13:43:48:4348, 70,66,26,2130,354737,800203,159776,172789,196089,80113,60121,195510,85,2
3:43:49:4349,13:43:49:4349, 70,66,26,2154,798987,164595,348592,67118,396045,42632,51308,40615,86,16
3:43:50:4350,13:43:50:4350, 70,66,26,2179,998867,278277,235828,93676,299574,71526,61783,49735,87,16
3:43:51:4351,13:43:51:4351, 70,66,26,2203,1238963,131463,90107,110913,260003,170436,60764,93172,88,12
3:43:52:4352,13:43:52:4352, 70,66,26,2229,1046751,132789,53410,120805,225784,146699,63018,90319,89,16
3:43:53:4353,13:43:53:4353, 70,66,26,2253,397850,726299,457953,293284,230348,99836,155217,141242,90,12
3:43:54:4354,13:43:54:4354, 70,66,26,2278,579747,728882,126453,223384,214398,73609,142564,89199,91,12
3:43:55:4355,13:43:55:4355, 70,66,26,2304,160664,54418,52675,41263,51237,36029,12477,20442,92,16
3:43:57:4357,13:43:57:4357, 70,66,26,2353,474404,364221,75463,97558,178002,124198,126910,52061,94,12
3:43:58:4358,13:43:58:4358, 70,66,26,2377,1489324,116278,121718,37228,444806,111898,57646,25345,95,08
3:43:59:4359,13:43:59:4359, 70,66,26,2403,700868,366165,79592,175372,175175,78743,112751,78110,96,12
3:44:00:440,13:44:00:440, 70,66,26,2427,1142871,661574,475863,265294,138565,118654,110494,89998,97,08
3:44:01:441,13:44:01:441, 70,66,26,2452,320188,555912,174579,79218,112120,42236,99945,124997,98,08
3:44:02:442,13:44:02:442, 70,66,26,2478,262231,512142,106441,60728,304476,83063,144557,88247,99,12
3:44:03:443,13:44:03:443, 70,66,26,2502,809234,243526,94382,363915,299283,147000,154748,62378,100,08
3:44:04:444,13:44:04:444, 70,66,26,2527,488552,729326,176341,151596,373514,146334,93506,61565,101,08
3:44:05:445,13:44:05:445, 70,66,26,2551,1241036,283744,21518,54225,202395,105016,159229,88386,102,04
3:44:07:447,13:44:07:447, 70,66,26,2601,574149,412149,101992,229000,122763,126181,47078,104485,104,04
3:44:08:448,13:44:08:448, 70,66,26,2627,288639,568853,155803,146059,177395,91772,65604,129192,105,08
3:44:09:449,13:44:09:449, 70,66,26,2652,579018,555938,972158,227845,125549,95884,61830,105436,106,08
3:44:10:4410,13:44:10:4410, 70,66,26,2676,1121306,638112,47492,181762,76748,142713,78703,131628,107,04
3:44:11:4411,13:44:11:4411, 70,66,26,2702,1441820,466471,87265,155645,80619,158865,92670,79945,108,08
3:44:12:4412,13:44:12:4412, 70,66,26,2726,742719,204523,407339,117549,182634,131075,88324,114525,109,04
3:44:13:4413,13:44:13:4413, 70,66,26,2751,904055,786255,303390,222802,134927,95707,47223,81507,110,04
3:44:15:4415,13:44:15:4415, 70,66,26,2800,1017467,439959,146086,108322,205567,51739,179375,198175,112
3:44:17:4417,13:44:17:4417, 70,66,26,2850,1862122,250894,135236,50794,154047,150376,99885,94707,114
3:44:18:4418,13:44:18:4418, 70,66,26,2876,399138,757036,176753,81180,100522,137698,93801,125331,115,04
3:44:19:4419,13:44:19:4419, 70,66,26,2900,748244,184384,183393,79479,122130,148613,92731,81560,116
3:44:20:4420,13:44:20:4420, 70,66,26,2926,746354,312626,66641,208823,91069,68398,175987,98205,117,04
3:44:21:4421,13:44:21:4421, 70,66,26,2951,1682341,318561,56171,87459,195244,126408,86223,131589,118,04
3:44:22:4422,13:44:22:4422, 70,66,26,2975,707632,449180,356884,75906,86608,114467,131786,61758,119
3:44:23:4423,13:44:23:4423, 70,66,26,3000,947648,1020602,146038,62893,204536,122894,53564,68373,120
3:44:24:4424,13:44:24:4424, 70,66,26,3024,648402,277853,137075,264293,213715,151379,51805,93540,120,96
3:44:25:4425,13:44:25:4425, 70,66,26,3050,329334,399392,240468,91753,108940,141983,33265,45499,122
3:44:27:4427,13:44:27:4427, 70,66,26,3099,1089826,712736,575509,62041,167029,78326,72345,80826,123,96
3:44:28:4428,13:44:28:4428, 70,66,26,3125,861240,361656,501914,232814,152502,108275,100798,65906,125
3:44:29:4429,13:44:29:4429, 70,66,26,3149,358776,444188,255076,188144,191519,116378,114459,95460,125,96
3:44:30:4430,13:44:30:4430, 70,66,26,3174,695280,410463,80107,193568,192376,83943,91281,104457,126,96
3:44:31:4431,13:44:31:4431, 70,66,26,3198,465292,504598,239868,47688,89737,63361,65752,91875,127,92
3:44:32:4432,13:44:32:4432, 70,66,26,3224,203011,213123,77833,34263,230464,130677,130217,97491,128,96
3:44:33:4433,13:44:33:4433, 70,66,26,3249,885005,73746,74113,158429,190014,96480,53979,190529,129,96
3:44:34:4434,13:44:34:4434, 70,66,26,3274,905612,604754,143755,148634,48284,97772,35473,136521,130,96
3:44:35:4435,13:44:35:4435, 70,66,26,3299,974811,217436,186511,237461,99518,118502,55474,71146,131,96
3:44:37:4437,13:44:37:4437, 70,66,26,3349,498707,450315,78579,81815,188167,90152,79781,56399,133,96
3:44:37:4437,13:44:37:4437, 70,66,26,3372,1125159,273566,350085,182723,69052,97639,67776,123255,134,88
3:44:39:4439,13:44:39:4439, 70,66,26,3398,373985,421044,337691,114845,129814,112067,64596,107953,135,92
3:44:40:4440,13:44:40:4440, 70,66,26,3423,510351,156457,218140,184108,230921,225596,109009,72324,136,92
3:44:40:4440,13:44:40:4440, 70,66,26,3448,358429,533043,320930,1460,200369,155163,95794,160319,137,92
3:44:42:4442,13:44:42:4442, 70,66,26,3474,323396,242639,617197,144383,136735,77188,96686,72615,138,96
3:44:42:4442,13:44:42:4442, 70,66,26,3497,577791,766588,412419,147243,237931,121184,116618,90561,139,88
3:44:44:4444,13:44:44:4444, 70,66,26,3523,279390,132903,110323,135911,149667,123773,71353,103264,140,92
3:44:44:4444,13:44:44:4444, 70,66,26,3547,875141,308638,203772,158618,207975,85867,53546,115879,141,88
3:44:46:4446,13:44:46:4446, 70,66,26,3597,540670,137440,40270,34644,61980,33548,17835,26558,143,88
3:44:47:4447,13:44:47:4447, 70,66,26,3622,112233,217851,33514,35753,36968,49641,22320,38970,144,88
3:44:48:4448,13:44:48:4448, 70,66,26,3648,1150433,172035,151998,159627,56599,167532,73749,145326,145,92
