UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
12:38:21:3821,10:38:21:3821, 37,27,0,7095,1512674,750352,32400,58229,28745,16612,5591,5250,283.8
12:38:22:3822,10:38:22:3822, 29,29,0,7119,1180095,320692,97407,50094,16384,10453,4039,8398,284.76
12:38:23:3823,10:38:23:3823, 35,26,0,7145,1813052,742111,230112,40371,19250,25391,5630,8990,285.8
12:38:24:3824,10:38:24:3824, 29,30,0,7168,1090172,87085,6725,13997,5175,4075,640,1234,286.72
12:38:25:3825,10:38:25:3825, 35,50,0,7194,912640,47242,29988,2546,2110,2951,686,2583,287.76
12:38:26:3826,10:38:26:3826, 40,51,0,7219,1188973,254850,59496,108969,29161,15196,5245,14901,288.76
12:38:27:3827,10:38:27:3827, 53,53,0,7244,672139,48434,18545,7441,3648,7466,1150,1915,289.76
12:38:28:3828,10:38:28:3828, 53,54,0,7270,188774,17498,2307,4236,3201,784,219,358,290.8
12:38:29:3829,10:38:29:3829, 47,50,0,7293,1339285,638085,162380,68376,30229,18242,4673,4991,291.72
12:38:30:3830,10:38:30:3830, 43,47,0,7319,523517,100050,13102,32735,8798,3358,2055,3306,292.76
12:38:33:3833,10:38:33:3833, 27,43,0,7393,1469424,284132,120598,55895,26669,17605,8215,6138,295.72
12:38:34:3834,10:38:34:3834, 29,38,0,7418,1017920,272720,45940,28921,22087,10882,4614,5089,296.72
12:38:35:3835,10:38:35:3835, 37,40,0,7444,721185,579810,108327,41250,72424,27229,11395,3677,297.76
12:38:38:3838,10:38:38:3838, 20,27,0,7517,1679482,470488,137403,61862,13427,11774,4139,8221,300.68
12:38:39:3839,10:38:39:3839, 13,24,0,7542,681840,170870,9924,16446,2401,3822,1236,1961,301.68
12:38:40:3840,10:38:40:3840, 35,43,0,7567,1912779,112696,79057,40135,26436,17105,5412,6767,302.68
12:38:41:3841,10:38:41:3841, 34,56,0,7592,950945,305598,249008,35236,26051,16244,6523,6147,303.68
12:38:42:3842,10:38:42:3842, 44,63,0,7618,2173915,255094,168856,34938,3608,22707,8772,5672,304.72
12:38:43:3843,10:38:43:3843, 53,70,0,7641,660899,245664,58910,29371,12594,14893,7035,5295,305.64
12:38:44:3844,10:38:44:3844, 43,50,0,7667,1531052,434415,23992,27391,40998,14197,6011,6880,306.68
12:38:44:3844,10:38:45:3845, 37,43,0,7691,907732,380543,135815,31919,21929,7186,4250,7680,307.64
12:38:48:3848,10:38:48:3848, 35,54,0,7766,1830070,1521463,321333,104123,64154,55064,67475,29819,310.64
12:38:49:3849,10:38:49:3849, 47,61,0,7792,1267984,187506,141213,27481,9825,13507,4346,9669,311.68
12:38:49:3849,10:38:49:3849, 43,64,0,7815,1186128,219678,116641,27178,17961,17856,4334,4623,312.6
12:38:51:3851,10:38:51:3851, 29,38,0,7841,1397764,1625439,38912,9593,12451,11843,4800,6042,313.64
12:38:51:3851,10:38:51:3851, 35,43,0,7865,884288,67394,15556,11126,6466,4544,669,1071,314.6
12:38:53:3853,10:38:53:3853, 41,26,0,7891,2028753,860867,69038,61613,57005,89586,19942,5994,315.64
12:38:54:3854,10:38:54:3854, 41,26,26,7917,292972,95162,21992,8748,4748,19211,2843,3917,316.68
12:38:54:3854,10:38:54:3854, 51,30,0,7940,2017735,1186212,888305,78390,77472,302642,17877,12466,317.6
12:38:55:3855,10:38:56:3856, 84,63,0,7966,1228980,206520,130222,169368,38915,104161,15226,5348,318.64
12:38:57:3857,10:38:57:3857, 88,80,0,8015,1529172,352360,95668,239086,60580,56304,17982,13504,320.6
12:39:00:390,10:39:00:390, 67,78,0,8091,834740,57436,10999,32120,27240,13333,3547,2004,323.64
12:39:01:391,10:39:01:391, 61,78,0,8114,1437321,186924,92788,115022,76771,15721,12231,6455,324.56
12:39:02:392,10:39:02:392, 64,81,0,8140,202654,39788,77568,12038,8365,9678,1709,1285,325.6
12:39:03:393,10:39:03:393, 74,90,0,8164,1239412,303766,165025,217722,22433,51310,15461,5851,326.56
12:39:04:394,10:39:04:394, 61,78,0,8190,317319,229085,20290,15913,13465,12404,3903,1386,327.6
12:39:05:395,10:39:05:395, 66,61,0,8214,1194798,630203,25953,56661,17902,44621,22151,8811,328.56
12:39:06:396,10:39:06:396, 57,54,0,8239,935040,120762,64854,34097,7652,7888,9461,2073,329.56
12:39:07:397,10:39:07:397, 54,53,0,8265,34255,30598,21168,3444,2054,2970,1769,1321,330.6
12:39:08:398,10:39:08:398, 50,67,0,8289,1361113,708034,378579,262184,62953,34445,38730,24098,331.56
12:39:09:399,10:39:09:399, 47,70,0,8314,44271,72879,7022,5530,1680,3708,1787,464,332.56
12:39:10:3910,10:39:10:3910, 56,75,0,8338,360325,47804,52866,14279,11369,11863,7252,1972,333.52
12:39:11:3911,10:39:11:3911, 60,67,0,8364,212406,85500,15856,23819,11505,10870,3242,2040,334.56
12:39:12:3912,10:39:12:3912, 77,64,0,8388,853438,86574,43096,25385,10213,21145,5370,1936,335.52
12:39:13:3913,10:39:13:3913, 78,78,0,8413,184082,89490,34286,34386,10197,7799,5131,2253,336.52
12:39:14:3914,10:39:14:3914, 75,83,0,8439,877231,25783,72792,41155,23544,9125,4809,1545,337.56
12:39:15:3915,10:39:15:3915, 74,88,0,8463,515045,36012,18488,9100,5130,4411,3533,1733,338.52
12:39:16:3916,10:39:16:3916, 54,75,0,8488,522391,1116251,51652,100606,19052,28580,7060,7764,339.52
12:39:17:3917,10:39:17:3917, 56,57,0,8512,2204796,613408,55298,21878,57207,43958,7579,5739,340.48
12:39:18:3918,10:39:18:3918, 51,43,0,8538,666227,79722,3386,24096,4009,4057,1868,1574,341.52
12:39:19:3919,10:39:19:3919, 37,41,0,8563,1168220,734775,295970,125557,13341,18254,5782,5615,342.52
12:39:20:3920,10:39:20:3920, 51,48,0,8587,326634,105405,24492,10503,9348,15222,4396,1899,343.48
12:39:21:3921,10:39:21:3921, 48,56,0,8613,1109038,521191,105736,38478,23933,27313,4723,3595,344.52
12:39:23:3923,10:39:23:3923, 64,64,0,8663,1416950,166404,103600,51305,37370,25455,22614,12207,346.52
12:39:26:3926,10:39:26:3926, 67,74,0,8736,83397,18306,9592,1708,3678,1954,523,295,349.44
12:39:27:3927,10:39:27:3927, 63,84,0,8761,611290,270682,785504,74412,17058,56428,11356,4091,350.44
12:39:29:3929,10:39:29:3929, 66,80,0,8811,278460,196999,29515,1875,15382,14345,2631,977,352.44
12:39:30:3930,10:39:30:3930, 63,69,0,8837,1848175,674330,49352,88251,39613,40725,17087,3099,353.48
12:39:31:3931,10:39:31:3931, 63,53,0,8861,893056,354746,122771,58341,55354,27610,15636,6041,354.44
12:39:32:3932,10:39:32:3932, 54,44,0,8886,1234528,797066,185183,80666,26026,33046,38859,9584,355.44
12:39:33:3933,10:39:33:3933, 56,48,0,8910,558661,1347169,83606,238477,124167,140720,20355,13678,356.4
12:39:34:3934,10:39:34:3934, 66,41,0,8935,1608302,679303,38996,37922,42861,87378,41635,5579,357.4
12:39:35:3935,10:39:35:3935, 74,44,0,8961,363000,52440,18574,23173,6361,9981,8268,1272,358.44
12:39:37:3937,10:39:37:3937, 80,66,0,9011,585520,103790,124420,23445,4568,10616,8732,2454,360.44
12:39:38:3938,10:39:38:3938, 77,75,0,9035,59061,18864,1935,3827,1324,2380,843,362,361.4
12:39:39:3939,10:39:39:3939, 66,67,0,9060,1638270,414960,93995,50660,43124,21778,10913,11130,362.4
12:39:41:3941,10:39:41:3941, 64,56,0,9110,339569,141200,40836,18512,17278,11386,9172,2335,364.4
12:39:42:3942,10:39:42:3942, 56,53,0,9136,1734522,801464,96666,74110,31697,41776,7860,9832,365.44
12:39:43:3943,10:39:43:3943, 50,43,0,9159,258139,339798,14007,17548,10729,6610,3211,3004,366.36
12:39:46:3946,10:39:46:3946, 34,47,0,9235,831173,155518,20427,17087,11769,5630,3229,1383,369.4
12:39:47:3947,10:39:47:3947, 44,64,0,9261,1372077,470670,225277,185630,54371,49352,15587,7395,370.44
12:39:48:3948,10:39:48:3948, 44,69,0,9284,72159,21135,9906,6043,1155,1829,901,857,371.36
12:39:49:3949,10:39:49:3949, 54,77,0,9310,979369,251128,209496,74581,25690,35392,37615,5203,372.4
12:39:50:3950,10:39:50:3950, 63,74,0,9333,853434,589611,34631,84004,67200,46061,23513,5160,373.32
12:39:51:3951,10:39:51:3951, 66,69,0,9359,1767052,451651,128311,144408,53854,56096,21704,5294,374.36
12:39:53:3953,10:39:53:3953, 54,44,0,9409,468504,160654,3242,16349,11465,4834,2583,1531,376.36
12:39:54:3954,10:39:54:3954, 54,44,0,9434,530497,64240,9323,5276,17494,5573,2595,1066,377.36
12:39:55:3955,10:39:55:3955, 53,41,0,9458,2288658,402994,134213,78533,58070,34991,12311,8863,378.32
12:39:56:3956,10:39:56:3956, 70,43,0,9484,2329058,147321,66253,33966,27617,63199,47213,5256,379.36
12:39:57:3957,10:39:57:3957, 78,60,0,9508,832746,352406,248728,51169,44715,35590,19130,8393,380.32
12:39:58:3958,10:39:58:3958, 80,69,0,9533,1107376,141430,66962,22027,23383,20266,12186,4586,381.32
12:39:59:3959,10:39:59:3959, 80,77,0,9558,968615,153740,49359,100212,30560,16591,19281,3203,382.32
12:40:00:400,10:40:00:400, 69,84,0,9583,2143831,232376,290815,147582,68302,61271,25622,11185,383.32
12:40:01:401,10:40:01:401, 70,74,0,9609,1532951,331241,43576,27155,8822,27782,9679,2443,384.36
12:40:03:403,10:40:03:403, 77,75,0,9658,1381678,89850,114105,17518,23784,29564,7700,6781,386.32
12:40:04:404,10:40:04:404, 74,67,0,9681,182562,774091,272623,207132,50634,70953,44000,7107,387.24
12:40:05:405,10:40:05:405, 77,70,0,9707,216523,136760,28070,23229,36873,17535,9257,3963,388.28
12:40:06:406,10:40:06:406, 77,74,0,9732,830049,29547,12879,9342,5137,3226,1826,1055,389.28
12:40:07:407,10:40:07:407, 77,63,0,9757,519025,103551,25079,31122,28679,19873,7503,5804,390.28
12:40:08:408,10:40:08:408, 75,57,0,9783,1555267,768565,200387,83152,72923,56972,15940,13985,391.32
12:40:09:409,10:40:09:409, 75,64,0,9806,1295433,255124,105124,59713,30706,43621,38829,23099,392.24
12:40:10:4010,10:40:10:4010, 80,67,0,9832,619536,82839,54315,29781,8107,17258,8278,3087,393.28
12:40:11:4011,10:40:11:4011, 74,74,0,9856,22315,32074,17239,5920,5496,3327,1617,276,394.24
12:40:12:4012,10:40:12:4012, 70,81,0,9881,1850626,574255,500879,101694,25468,50765,12761,15390,395.24
12:40:13:4013,10:40:13:4013, 75,74,0,9906,496273,636845,70556,91026,53183,122053,20017,11467,396.24
12:40:14:4014,10:40:14:4014, 70,70,0,9931,22394,23879,23465,3607,4558,4516,991,635,397.24
12:40:15:4015,10:40:15:4015, 69,64,0,9957,1120863,185045,15967,53687,25169,13606,7984,2551,398.28
12:40:16:4016,10:40:16:4016, 69,69,0,9980,234144,140244,264136,36131,25027,18464,8052,4263,399.2
12:40:17:4017,10:40:17:4017, 53,67,0,10007,543293,213879,22431,13166,11860,7456,4889,1918,400.28
12:40:18:4018,10:40:18:4018, 43,56,0,10030,594544,92313,5434,16677,1901,3655,1204,1263,401.2
12:40:19:4019,10:40:19:4019, 30,51,0,10056,250142,673117,88168,29390,20103,13589,8103,6194,402.24
12:40:20:4020,10:40:20:4020, 30,51,26,10080,230004,15681,6296,9400,5979,6670,1637,455,403.2
12:40:22:4022,10:40:22:4022, 40,67,0,10131,399553,86428,129825,17539,16534,10732,8785,3680,405.24
12:40:23:4023,10:40:23:4023, 41,67,0,10155,1179785,936703,198876,35017,54219,50591,23993,7602,406.2
12:40:24:4024,10:40:24:4024, 54,84,0,10181,1623360,316292,347181,24602,39909,36891,22658,7398,407.24
12:40:26:4026,10:40:26:4026, 51,64,0,10230,532320,369256,68944,110009,43783,15334,25261,25449,409.2
12:40:28:4028,10:40:28:4028, 53,66,0,10279,1890583,235073,266317,46532,37575,34349,23547,11998,411.16
12:40:29:4029,10:40:29:4029, 53,64,0,10305,428601,119271,36508,21465,17593,15246,4522,2707,412.2
12:40:30:4030,10:40:30:4030, 60,63,0,10329,1729737,530347,81667,132977,48858,33925,64550,10609,413.16
12:40:31:4031,10:40:31:4031, 60,77,0,10355,1632637,151720,259999,110211,117653,22635,22336,5122,414.2
12:40:32:4032,10:40:32:4032, 48,70,0,10378,718573,207547,81441,35347,11495,5837,7081,5047,415.12
12:40:33:4033,10:40:33:4033, 35,74,0,10404,254864,241490,96354,29204,7551,9019,3541,3211,416.16
12:40:34:4034,10:40:34:4034, 38,78,0,10430,2023714,634890,314599,62594,18172,62968,9996,6264,417.2
12:40:35:4035,10:40:35:4035, 30,64,0,10453,1244905,863319,219272,62412,9067,28516,13406,7477,418.12
12:40:36:4036,10:40:36:4036, 27,66,0,10479,1262032,199181,111614,19342,11399,4884,1914,1441,419.16
12:40:37:4037,10:40:37:4037, 40,61,0,10503,767844,157450,35957,22707,26256,17468,6109,3087,420.12
12:40:38:4038,10:40:38:4038, 35,47,0,10529,568533,154871,5982,12100,14988,5860,6973,1290,421.16
12:40:41:4041,10:40:41:4041, 40,34,0,10604,985504,441799,173212,70084,21787,24443,12474,11855,424.16
12:40:42:4042,10:40:42:4042, 30,38,0,10627,288832,246950,31002,19672,27881,4474,3837,2593,425.08
12:40:43:4043,10:40:43:4043, 43,51,0,10653,2097423,611941,111248,73258,33767,49698,29993,8206,426.12
12:40:44:4044,10:40:44:4044, 41,51,0,10677,741606,60771,28608,4571,7170,5826,3304,2021,427.08
12:40:45:4045,10:40:45:4045, 44,43,0,10703,267543,27949,4843,1835,5166,1676,2261,708,428.12
12:40:46:4046,10:40:46:4046, 63,57,0,10727,359042,49508,51660,21052,8221,10106,3027,1145,429.08
12:40:47:4047,10:40:47:4047, 77,66,0,10752,1530388,184702,77010,135677,55460,98846,17073,6069,430.08
12:40:48:4048,10:40:48:4048, 77,60,0,10778,1219947,456183,58955,61451,13705,38687,11444,12261,431.12
12:40:49:4049,10:40:49:4049, 66,57,0,10802,1045806,1305942,90581,144181,26498,22584,9990,18686,432.08
12:40:50:4050,10:40:50:4050, 63,50,0,10828,983556,299982,46396,79212,56653,25868,26401,7449,433.12
12:40:51:4051,10:40:51:4051, 57,44,0,10851,712379,61433,6397,26884,16975,12400,5868,1736,434.04
12:40:52:4052,10:40:52:4052, 48,38,0,10877,717870,984236,56945,71804,34589,29773,44200,11927,435.08
12:40:53:4053,10:40:53:4053, 50,50,0,10902,1340513,431099,179108,104009,44191,13469,7522,4103,436.08
12:40:54:4054,10:40:54:4054, 48,60,0,10927,2310565,199020,163877,103710,38632,25525,11602,8746,437.08
12:40:55:4055,10:40:55:4055, 35,57,0,10952,2522572,367440,40599,108739,60880,19813,8250,27174,438.08
12:40:56:4056,10:40:56:4056, 47,67,0,10976,654363,78395,7966,21178,7587,8813,6493,2500,439.04
12:40:57:4057,10:40:57:4057, 60,63,0,11002,1194378,2230394,569611,368544,190421,237105,139148,33644,440.08
12:40:58:4058,10:40:58:4058, 51,48,0,11026,918475,191487,19553,21950,5645,5452,2850,1124,441.04
12:40:59:4059,10:40:59:4059, 51,44,0,11051,536271,203543,14799,34813,25187,9970,1994,2066,442.04
12:41:00:410,10:41:00:410, 48,56,0,11076,932762,185699,117747,239641,55728,31970,3436,3702,443.04
12:41:02:412,10:41:02:412, 51,51,0,11126,474421,99374,2742,20525,14138,7996,5968,4788,445.04
12:41:03:413,10:41:03:413, 54,60,0,11150,1397128,443145,295853,37381,44554,43713,9843,3562,446
12:41:05:415,10:41:05:415, 66,56,0,11200,555069,111100,37355,14358,5406,17148,5197,3970,448
12:41:06:416,10:41:06:416, 63,57,0,11225,20584,39414,6203,3419,2106,1957,2423,898,449
12:41:07:417,10:41:07:417, 61,44,0,11250,1413508,1002634,60627,86139,21420,56451,18757,10535,450
12:41:08:418,10:41:08:418, 51,38,0,11275,1037848,119163,24432,13932,19666,3528,1813,1555,451
12:41:09:419,10:41:09:419, 43,30,0,11300,384286,136343,10766,11445,3277,7199,2138,2859,452
12:41:10:4110,10:41:10:4110, 47,34,0,11324,44253,17874,635,6818,3178,1561,598,378,452.96
12:41:11:4111,10:41:11:4111, 38,41,0,11350,1084321,851790,115039,130956,48623,23621,15244,10704,454
12:41:12:4112,10:41:12:4112, 50,40,0,11373,403245,313279,70552,12234,45386,27099,10236,3838,454.92
12:41:13:4113,10:41:13:4113, 51,51,0,11399,674139,119396,60881,16126,5375,10768,7428,979,455.96
12:41:14:4114,10:41:14:4114, 54,64,0,11424,2476521,145896,321087,55708,56578,51057,14227,5561,456.96
12:41:15:4115,10:41:15:4115, 69,84,0,11449,609387,20367,77694,43477,20999,13307,2985,1859,457.96
12:41:16:4116,10:41:16:4116, 75,88,0,11475,214305,58874,18687,6303,7679,9444,3076,1247,459
12:41:18:4118,10:41:18:4118, 77,80,0,11524,307213,485652,95521,40853,47977,38863,19194,4654,460.96
12:41:19:4119,10:41:19:4119, 74,63,0,11548,537206,289788,93638,45708,81806,29824,13668,9009,461.92
12:41:20:4120,10:41:20:4120, 53,56,0,11574,190192,459179,34949,39835,21243,8391,11379,4769,462.96
12:41:22:4122,10:41:22:4122, 43,54,0,11623,878485,313166,77009,22784,15090,24170,8807,5091,464.92
12:41:24:4124,10:41:24:4124, 51,75,0,11672,776520,440397,10092,121561,15182,21857,7703,2306,466.88
12:41:25:4125,10:41:25:4125, 44,66,0,11698,511229,220151,61715,33230,25980,5256,5009,5152,467.92
12:41:26:4126,10:41:26:4126, 35,60,0,11722,436395,74392,8960,2544,1718,1915,1011,415,468.88
12:41:27:4127,10:41:27:4127, 30,50,0,11748,529089,10719,1424,4966,380,937,207,88,469.92
12:41:28:4128,10:41:28:4128, 24,43,0,11774,1665129,189176,26291,2998,1473,3662,4419,5539,470.96
12:41:29:4129,10:41:29:4129, 23,54,0,11797,2216520,240034,294883,68510,66215,9372,7235,4454,471.88
12:41:30:4130,10:41:30:4130, 17,56,0,11823,1039119,581369,88380,29990,18340,8443,3535,2850,472.92
12:41:31:4131,10:41:31:4131, 1,40,0,11847,1461579,725830,40764,19348,4107,5259,2448,2265,473.88
12:41:32:4132,10:41:32:4132, 4,40,0,11872,1658914,90782,5263,11048,4037,3793,1449,722,474.88
12:41:34:4134,10:41:34:4134, 21,34,0,11922,2166374,162501,57756,16936,8437,8643,5131,6174,476.88
12:41:35:4135,10:41:35:4135, 38,43,0,11948,1582883,302274,67422,12246,5088,12468,4735,4251,477.92
12:41:36:4136,10:41:36:4136, 41,44,0,11972,1489087,782096,64695,90523,27914,51063,10293,12061,478.88
12:41:37:4137,10:41:37:4137, 41,53,0,11997,2435831,233768,125005,26145,10431,11835,3517,4762,479.88
12:41:38:4138,10:41:38:4138, 27,40,0,12021,1585226,470144,52023,8854,7049,5139,3738,2528,480.84
12:41:39:4139,10:41:39:4139, 34,37,0,12047,1523421,223442,19473,25293,5911,15369,4972,4062,481.88
12:41:40:4140,10:41:40:4140, 26,30,0,12071,516649,91607,4123,4292,4583,2714,1002,762,482.84
12:41:41:4141,10:41:41:4141, 27,21,0,12096,214658,69395,4647,13514,8252,2912,1761,770,483.84
12:41:42:4142,10:41:42:4142, 35,20,0,12122,791230,777454,51354,20473,20692,15347,4906,3008,484.88
12:41:43:4143,10:41:43:4143, 34,27,0,12146,574771,35588,12881,8296,4520,2765,1783,987,485.84
12:41:44:4144,10:41:44:4144, 17,23,0,12171,1278439,747174,27857,11335,8924,4312,2257,2949,486.84
12:41:45:4145,10:41:45:4145, 17,30,0,12195,203627,42862,21184,2758,3233,2292,492,740,487.8
12:41:46:4146,10:41:46:4146, 20,30,0,12221,586539,118882,8571,4103,5028,3359,589,1464,488.84
12:41:47:4147,10:41:47:4147, 4,16,0,12246,122829,536333,37155,14458,12910,6002,1184,5390,489.84
12:41:48:4148,10:41:48:4148, 16,29,0,12270,634091,1601633,391842,52581,134783,46036,9053,29813,490.8
12:41:49:4149,10:41:49:4149, 8,21,0,12296,722829,199638,17074,20377,7940,2882,2249,1951,491.84
12:41:50:4150,10:41:50:4150, 1,29,0,12319,2049655,643580,147021,14825,9494,5816,5203,4308,492.76
12:41:51:4151,10:41:51:4151, 1,38,0,12345,652792,305488,41199,21630,10346,6580,2884,2163,493.8
12:41:52:4152,10:41:52:4152, 1,40,0,12369,425829,81458,23111,4041,2373,1216,952,1229,494.76
12:41:53:4153,10:41:53:4153, 1,50,0,12395,251414,38951,22524,2742,1882,1693,1898,540,495.8
12:41:54:4154,10:41:54:4154, 20,44,0,12419,1543161,1416962,148820,48319,61529,66846,6105,6603,496.76
12:41:55:4155,10:41:55:4155, 41,48,0,12444,1624039,95268,25041,19849,11498,19340,641,1843,497.76
12:41:56:4156,10:41:56:4156, 51,48,0,12470,354461,33218,6422,4612,5685,1323,681,364,498.8
12:41:58:4158,10:41:58:4158, 35,35,0,12519,179196,90649,5479,4469,1281,1298,1319,452,500.76
12:41:59:4159,10:41:59:4159, 10,29,0,12543,37208,63350,6131,5900,921,903,394,896,501.72
12:42:00:420,10:42:00:420, 4,14,0,12569,798009,584001,11592,28927,6163,10881,6599,2780,502.76
12:42:01:421,10:42:01:421, 1,21,0,12593,1437973,2130849,692057,138377,24033,17523,19405,8143,503.72
12:42:02:422,10:42:02:422, 7,21,0,12618,147875,50555,4878,1720,1852,2674,201,363,504.72
12:42:03:423,10:42:03:423, 26,34,0,12644,786124,46869,14508,21160,2061,7392,2606,1730,505.76
12:42:04:424,10:42:04:424, 30,41,0,12668,71168,17402,565,2504,874,536,218,212,506.72
12:42:05:425,10:42:05:425, 43,26,0,12694,2072362,120941,7210,915,2256,2367,489,515,507.76
12:42:06:426,10:42:06:426, 44,37,0,12717,1538657,224014,60467,50861,22244,19406,7289,5630,508.68
12:42:07:427,10:42:07:427, 34,37,0,12743,1191049,168686,69326,40082,12519,7609,2717,1864,509.72
12:42:10:4210,10:42:10:4210, 11,47,0,12818,1609699,870373,147873,8438,18578,6859,4067,4599,512.72
12:42:11:4211,10:42:11:4211, 11,35,0,12842,1594277,216847,23648,18479,9807,6703,3487,3139,513.68
12:42:12:4212,10:42:12:4212, 10,38,0,12868,1284365,278445,25490,47920,8225,14866,4910,2263,514.72
12:42:13:4213,10:42:13:4213, 11,34,0,12892,704979,144189,28091,3093,1827,1920,423,675,515.68
12:42:14:4214,10:42:14:4214, 29,37,0,12917,1791283,260041,62366,15203,29991,13654,5595,4243,516.68
12:42:16:4216,10:42:16:4216, 24,24,0,12967,483371,73619,3021,10279,7286,3192,241,2116,518.68
12:42:18:4218,10:42:18:4218, 29,29,0,13016,1093847,160667,152188,26187,15091,24894,6108,4420,520.64
12:42:19:4219,10:42:19:4219, 35,37,0,13042,1207567,74287,3139,10955,2365,3382,1192,567,521.68
12:42:21:4221,10:42:21:4221, 44,41,0,13092,311930,106008,3799,5976,5164,2331,1213,1568,523.68
12:42:22:4222,10:42:22:4222, 41,38,0,13118,1517392,112426,17784,75977,12404,10043,3352,7387,524.72
12:42:23:4223,10:42:23:4223, 40,64,0,13141,1786959,41636,144423,35575,10503,8166,3407,3451,525.64
12:42:24:4224,10:42:24:4224, 40,75,0,13167,1008255,101782,58740,24617,2837,7798,4226,2373,526.68
12:42:24:4224,10:42:24:4224, 34,74,0,13190,545499,318902,20658,6507,10576,3421,5260,4828,527.6
12:42:26:4226,10:42:26:4226, 34,57,0,13216,183762,488144,44732,26222,14168,27843,2722,2849,528.64
12:42:27:4227,10:42:27:4227, 26,27,0,13241,1247491,500131,41353,18126,7106,12212,1291,2795,529.64
12:42:28:4228,10:42:28:4228, 14,16,0,13266,1645622,325564,55264,24638,2574,6126,1979,2151,530.64
12:42:29:4229,10:42:29:4229, 17,24,0,13291,1355817,225836,39621,4401,7519,3876,2307,5281,531.64
12:42:29:4229,10:42:29:4229, 10,40,0,13315,132746,49891,33752,3664,2168,1704,413,732,532.6
12:42:30:4230,10:42:30:4230, 11,44,0,13341,1417018,161714,7337,22331,10106,4098,4026,2656,533.64
12:42:31:4231,10:42:31:4231, 7,38,0,13364,1504240,1168940,132247,27662,10200,10564,4300,11718,534.56
12:42:32:4232,10:42:32:4232, 13,51,0,13390,1662037,802786,251930,282971,19963,42233,13170,6044,535.6
12:42:33:4233,10:42:33:4233, 17,34,0,13415,1053011,345427,27172,16580,9396,11788,2488,2632,536.6
12:42:34:4234,10:42:34:4234, 17,35,0,13440,522315,275499,30267,30429,23493,8988,6801,6028,537.6
12:42:35:4235,10:42:35:4235, 29,21,0,13466,104753,634275,6002,7015,4449,15263,948,1484,538.64
12:42:36:4236,10:42:36:4236, 47,14,0,13489,706271,99728,16219,14894,29029,18836,1795,3299,539.56
12:42:37:4237,10:42:37:4237, 47,21,0,13515,1618709,743897,87107,48401,26315,30527,2098,9704,540.6
12:42:38:4238,10:42:38:4238, 56,30,0,13538,674380,19461,3681,10578,4920,2663,347,317,541.52
12:42:39:4239,10:42:39:4239, 54,47,0,13565,124412,70438,6338,2036,1429,1601,498,430,542.6
12:42:40:4240,10:42:40:4240, 40,44,0,13589,708773,181516,20983,11548,4738,7516,3586,2285,543.56
12:42:41:4241,10:42:41:4241, 41,47,0,13614,1783179,793076,68395,87635,9432,33042,16396,6568,544.56
12:42:42:4242,10:42:42:4242, 48,40,0,13640,2006658,492554,63077,79500,36724,86063,4071,6602,545.6
12:42:43:4243,10:42:43:4243, 54,40,0,13664,1907995,751611,23591,98773,103812,34938,9270,13602,546.56
12:42:44:4244,10:42:44:4244, 60,38,0,13689,615519,138813,10952,7889,2456,9309,1823,2351,547.56
12:42:45:4245,10:42:45:4245, 60,38,0,13713,1639001,177437,18237,21537,6416,8064,1032,2430,548.52
12:42:46:4246,10:42:46:4246, 40,30,0,13738,613057,318294,15067,18810,12054,6481,1692,3441,549.52
12:42:47:4247,10:42:47:4247, 30,43,0,13763,563285,131809,63912,17271,2148,3836,5129,2179,550.52
12:42:48:4248,10:42:48:4248, 29,54,0,13788,521349,135572,60018,9086,6473,10804,1862,2456,551.52
12:42:49:4249,10:42:49:4249, 29,56,0,13814,701886,118266,20185,17922,2864,5580,3601,1027,552.56
12:42:50:4250,10:42:50:4250, 29,64,0,13837,3030122,895457,185683,74642,52228,23160,5949,6406,553.48
12:42:51:4251,10:42:51:4251, 24,47,0,13863,275940,554585,18451,15732,22219,5652,1811,3376,554.52
12:42:52:4252,10:42:52:4252, 13,30,0,13887,2301319,1002931,63131,25302,12460,17857,5762,9621,555.48
12:42:53:4253,10:42:53:4253, 11,34,0,13913,850951,632563,186813,35743,18689,24849,17315,6710,556.52
12:42:54:4254,10:42:54:4254, 13,40,0,13938,2183962,470136,233378,109481,42822,19999,11147,14388,557.52
12:42:55:4255,10:42:55:4255, 24,48,0,13962,602171,117193,15202,9185,7500,4877,1257,2787,558.48
12:42:56:4256,10:42:56:4256, 23,54,0,13988,546165,320216,37345,17964,3862,5310,4867,3404,559.52
12:42:57:4257,10:42:57:4257, 16,43,0,14012,1942341,1212279,77630,34378,65925,17527,5732,14433,560.48
12:42:58:4258,10:42:58:4258, 10,41,0,14037,778762,185553,90035,22197,18984,3944,3126,2142,561.48
12:42:59:4259,10:42:59:4259, 1,37,0,14061,1377402,868929,15093,59333,26010,11318,8110,8404,562.44
12:43:00:430,10:43:00:430, 14,51,0,14087,170790,16782,11391,6085,765,2180,1215,731,563.48
12:43:02:432,10:43:02:432, 21,63,0,14136,252860,220726,56794,12299,6056,2980,2013,1827,565.44
12:43:03:433,10:43:03:433, 35,70,0,14162,1904764,125949,13769,23970,17905,6957,5237,1972,566.48
12:43:04:434,10:43:04:434, 17,51,0,14186,1037933,968820,57998,34888,16503,13776,15765,13827,567.44
